2017-01-12 19:03:38,484 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-12 19:03:38,487 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-12 19:03:38,490 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-12 19:03:38,492 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\project1\ammusfrondend\src\test\resources
2017-01-12 19:04:20,667 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-12 19:04:20,670 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-12 19:04:20,674 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-12 19:04:20,676 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\project1\ammusfrondend\src\test\resources
2017-01-12 19:07:59,325 [Worker-28] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.niit:ammusartsandcraft:0.0.1-SNAPSHOT @ D:\project1\ammusfrondend\pom.xml.
2017-01-12 19:07:59,395 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.niit:ammusbackend:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-01-12 19:08:00,501 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.niit:ammusbackend:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-01-12 19:08:04,775 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-12 19:08:04,784 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-12 19:08:04,803 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-12 19:08:04,805 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\project1\ammusfrondend\src\test\resources
2017-01-12 19:08:04,807 [Worker-28] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ammusfrondend
2017-01-12 19:08:04,811 [Worker-28] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ammusfrondend
2017-01-12 19:08:04,848 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-12 19:08:05,956 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.niit:ammusbackend:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-01-12 19:08:06,494 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-12 19:08:06,495 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-12 19:08:06,498 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-12 19:08:06,499 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\project1\ammusfrondend\src\test\resources
2017-01-12 19:08:49,247 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.niit:ammusfrondend:0.0.1-SNAPSHOT @ D:\project1\ammusfrondend\pom.xml.
2017-01-12 19:08:49,251 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.niit:ammusbackend:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-01-12 19:08:49,600 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.niit:ammusbackend:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-01-12 19:08:52,669 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-12 19:08:52,673 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
